,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
0,Aldershot,South East,335000,576,29968,7000,2,9,1.2496118035031694,-0.5133032835863713
1,Aldridge-Brownhills,West Midlands,222175,508,26411,6835,4,12,-0.5727613090138901,0.15277722047544406
2,Altrincham and Sale West,North West,405000,475,24695,16810,5,6,0.4982674780167358,2.953512697193307
3,Amber Valley,East Midlands,175000,505,26270,6000,4,15,-1.082667102489435,-0.2892040587723956
4,Arundel and South Downs,South East,470000,491,25537,16000,4,5,1.115634974310911,2.622898621996008
5,Ashfield,East Midlands,165000,496,25813,6800,5,16,-1.420630292488968,0.06442442259979167
6,Ashford,South East,315000,526,27336,7500,3,9,0.4142826787076818,0.2404085655120798
7,Ashton-under-Lyne,North West,175000,433,22511,8600,7,13,-2.1229558197411316,1.7080900982732423
8,Aylesbury,South East,330000,508,26411,4000,1,8,0.4264752646064219,-0.5165132632062929
9,Banbury,South East,303000,525,27305,200,0,9,0.42229120520478386,-1.604910132490658
10,Barking,London,345000,458,23795,8750,3,7,-0.1311806275378226,1.248723447899263
11,Barnsley Central,Yorkshire and The Humber,141000,482,25038,2700,2,18,-1.6628205707885764,-1.4148882694566893
12,Barnsley East,Yorkshire and The Humber,136500,499,25948,3700,3,19,-1.6314320508958189,-1.2558143425423687
13,Barrow and Furness,North West,154475,573,29806,2950,2,19,-0.5041864066616085,-2.258244517423198
14,Basildon and Billericay,East of England,340000,439,22823,7000,2,7,-0.3421883539286679,0.8920184160434111
15,Basingstoke,South East,295000,579,30108,1000,0,10,1.0461392820361304,-2.07484679546903
16,Bassetlaw,East Midlands,175000,480,24944,5001,3,14,-1.233657084264706,-0.3845588403074537
17,Bath,South West,400000,535,27830,3100,1,7,1.066147594243545,-0.678813834446529
18,Batley and Spen,Yorkshire and The Humber,155000,495,25735,5000,4,17,-1.5124308049121218,-0.5546082422941536
19,Battersea,London,765000,577,29994,10402,1,4,3.4639741999418185,0.8324899018578239
20,Beaconsfield,South East,595000,614,31928,14000,3,5,3.183328643978691,1.1848056492258474
21,Beckenham,London,535000,628,32635,8000,2,6,2.9206772826397356,-0.23504809226376855
22,Bedford,East of England,270000,512,26629,5100,2,10,0.012056910316766239,-0.40761145823568723
23,Bermondsey and Old Southwark,London,515000,653,33966,-10000,-2,7,2.7803415438243326,-4.183188262501517
24,Berwick-upon-Tweed,North East,195000,371,19266,3010,2,10,-2.184773146605776,0.4301536075097914
25,Bethnal Green and Bow,London,500000,786,40867,-4000,-1,8,4.521650517094268,-4.364475956323669
26,Beverley and Holderness,Yorkshire and The Humber,195000,452,23504,5010,3,12,-1.3466711133821883,0.07838694365788074
27,Bexhill and Battle,South East,325000,431,22386,8650,3,7,-0.5566073937595677,1.4420275180226678
28,Bexleyheath and Crayford,London,387500,767,39863,8600,2,10,3.9002406345339913,-1.983943719988615
29,Birkenhead,North West,142250,476,24757,3451,3,17,-1.7408876230673913,-0.8951051167581395
30,"Birmingham, Edgbaston",West Midlands,235000,518,26910,7600,4,11,-0.2741193976533895,0.28525768043589766
31,"Birmingham, Erdington",West Midlands,180000,504,26203,7000,5,15,-1.168059899800126,0.1394763484089684
32,"Birmingham, Hall Green",West Midlands,240000,506,26286,10300,5,11,-0.42095289455317886,1.0478105900313874
33,"Birmingham, Hodge Hill",West Midlands,175000,508,26395,8000,6,15,-1.2220931555653403,0.5079717210647596
34,"Birmingham, Ladywood",West Midlands,190000,429,22303,4600,3,12,-1.6838295449384921,0.21696872185820312
35,"Birmingham, Northfield",West Midlands,191000,607,31569,6328,4,17,0.1353856836011553,-1.3030657878928296
36,"Birmingham, Perry Barr",West Midlands,186000,533,27737,8100,6,15,-0.8485447707316657,0.31479415630395713
37,"Birmingham, Selly Oak",West Midlands,230000,440,22880,9750,5,10,-1.247846728495247,1.628272646078279
38,"Birmingham, Yardley",West Midlands,195000,506,26322,7400,5,13,-0.8879702765050401,0.3837251127425324
39,Bishop Auckland,North East,117000,449,23338,-1590,-1,20,-2.154126459443317,-2.758011607986869
40,Blackburn,North West,121550,490,25470,1510,1,21,-1.8174941553779989,-2.2301745438477454
41,Blackley and Broughton,North West,175000,494,25698,9000,7,15,-1.4883264235394789,1.0397606894936469
42,Blackpool North and Cleveleys,North West,146000,458,23800,4600,4,16,-1.9549020205581118,-0.20502920204426758
43,Blackpool South,North West,122500,424,22048,2510,2,18,-2.4882523049811036,-0.9600931890993911
44,Blaydon,North East,150000,469,24393,1000,1,16,-1.561425793101842,-1.613303697197967
45,Blyth Valley,North East,141000,486,25256,1210,1,18,-1.5451346456358244,-1.9302225406848248
