ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability
Aldershot,South East,335000,576,29968,7000,2.333333333,8.945671642
Aldridge-Brownhills,West Midlands,222175,508,26411,6835,3.635638298,11.88747609
Altrincham and Sale West,North West,405000,475,24695,16810,5.237575946,6.097530864
Amber Valley,East Midlands,175000,505,26270,6000,4.137931034,15.01142857
Arundel and South Downs,South East,470000,491,25537,16000,4.102564103,5.433404255
Ashfield,East Midlands,165000,496,25813,6800,5.190839695,15.64424242
Ashford,South East,315000,526,27336,7500,2.702702703,8.678095238
Ashton-under-Lyne,North West,175000,433,22511,8600,6.515151515,12.86342857
Aylesbury,South East,330000,508,26411,4000,1.290322581,8.003333333
Banbury,South East,303000,525,27305,200,0.066225166,9.011551155
Barking,London,345000,458,23795,8750,2.904564315,6.897101449
Barnsley Central,Yorkshire and The Humber,141000,482,25038,2700,2.117647059,17.75744681
Barnsley East,Yorkshire and The Humber,136500,499,25948,3700,3.13559322,19.00952381
Barrow and Furness,North West,154475,573,29806,2950,2.111290034,19.29503156
Basildon and Billericay,East of England,340000,439,22823,7000,2.295081967,6.712647059
Basingstoke,South East,295000,579,30108,1000,0.344827586,10.20610169
Bassetlaw,East Midlands,175000,480,24944,5001,3.334111137,14.25371429
Bath,South West,400000,535,27830,3100,0.806241873,6.9575
Batley and Spen,Yorkshire and The Humber,155000,495,25735,5000,3.846153846,16.60322581
Battersea,London,765000,577,29994,10402,1.458926493,3.920784314
Beaconsfield,South East,595000,614,31928,14000,2.666666667,5.36605042
Beckenham,London,535000,628,32635,8000,1.616161616,6.1
Bedford,East of England,270000,512,26629,5100,2.085889571,9.862592593
Bermondsey and Old Southwark,London,515000,653,33966,-10000,-1.769911504,6.595339806
Berwick-upon-Tweed,North East,195000,371,19266,3010,1.672686857,9.88
Bethnal Green and Bow,London,500000,786,40867,-4000,-0.769230769,8.1734
Beverley and Holderness,Yorkshire and The Humber,195000,452,23504,5010,2.947925861,12.05333333
Bexhill and Battle,South East,325000,431,22386,8650,3.070097604,6.888
Bexleyheath and Crayford,London,387500,767,39863,8600,2.496371553,10.28722581
Birkenhead,North West,142250,476,24757,3451,2.760910436,17.40386643
"Birmingham, Edgbaston",West Midlands,235000,518,26910,7600,3.85786802,11.45106383
"Birmingham, Erdington",West Midlands,180000,504,26203,7000,4.827586207,14.55722222
"Birmingham, Hall Green",West Midlands,240000,506,26286,10300,5.464190981,10.9525
"Birmingham, Hodge Hill",West Midlands,175000,508,26395,8000,5.925925926,15.08285714
"Birmingham, Ladywood",West Midlands,190000,429,22303,4600,2.754491018,11.73842105
"Birmingham, Northfield",West Midlands,191000,607,31569,6328,3.970883534,16.52827225
"Birmingham, Perry Barr",West Midlands,186000,533,27737,8100,5.567010309,14.91236559
"Birmingham, Selly Oak",West Midlands,230000,440,22880,9750,5.379310345,9.947826087
"Birmingham, Yardley",West Midlands,195000,506,26322,7400,4.683544304,13.49846154
Bishop Auckland,North East,117000,449,23338,-1590,-1.272509004,19.94700855
Blackburn,North West,121550,490,25470,1510,1.324561404,20.95433978
Blackley and Broughton,North West,175000,494,25698,9000,6.923076923,14.68457143
Blackpool North and Cleveleys,North West,146000,458,23800,4600,3.739837398,16.30136986
Blackpool South,North West,122500,424,22048,2510,2.282855844,17.99836735
Blaydon,North East,150000,469,24393,1000,0.689655172,16.262
Blyth Valley,North East,141000,486,25256,1210,0.896628381,17.91205674
Bognor Regis and Littlehampton,South East,295000,442,22989,7200,2.77992278,7.792881356
Bolsover,East Midlands,155000,481,24991,5000,3.846153846,16.12322581
Bolton North East,North West,155000,490,25464,3000,2.142857143,16.4283871
Bolton South East,North West,145000,443,23057,8000,7.619047619,15.90137931
Bolton West,North West,181000,459,23884,6400,4.295302013,13.19558011
Bootle,North West,145000,533,27690,4600,3.770491803,19.09655172
Boston and Skegness,East Midlands,186500,469,24383,6300,4.064516129,13.07399464
Bosworth,East Midlands,236500,498,25912,7800,3.949367089,10.9564482
Bournemouth East,South West,280000,499,25932,7600,3.140495868,9.261428571
Bournemouth West,South West,280000,498,25912,7800,3.236514523,9.254285714
Bracknell,South East,365000,624,32453,7000,2.121212121,8.891232877
Bradford East,Yorkshire and The Humber,125000,451,23442,3400,3.148148148,18.7536
Bradford South,Yorkshire and The Humber,127000,529,27529,2600,2.280701754,21.67637795
Bradford West,Yorkshire and The Humber,123000,537,27903,3800,3.653846154,22.68536585
Braintree,East of England,310000,518,26910,7400,2.710622711,8.680645161
Brent Central,London,525000,417,21668,10000,2.105263158,4.127238095
Brent North,London,510000,579,30129,10000,2.173913043,5.907647059
Brentford and Isleworth,London,530000,497,25865,7400,1.501014199,4.880188679
Brentwood and Ongar,East of England,469375,475,24710,7875,1.831395349,5.264447403
Bridgwater and West Somerset,South West,240000,453,23561,8000,4,9.817083333
Brigg and Goole,Yorkshire and The Humber,175000,492,25584,4250,2.764227642,14.61942857
"Brighton, Kemptown",South East,369975,527,27383,9995,3.1234375,7.401310899
"Brighton, Pavilion",South East,403500,513,26666,8700,2.416666667,6.608674102
Bristol East,South West,290000,463,24076,9000,3.673469388,8.302068966
Bristol North West,South West,320000,481,25012,8000,2.857142857,7.81625
Bristol South,South West,290000,502,26114,8600,3.481781377,9.004827586
Bristol West,South West,351000,620,32235,11650,3.979504697,9.183760684
Broadland,East of England,285500,592,30800,7100,2.84,10.78809107
Bromley and Chislehurst,London,482000,660,34310,11400,2.682352941,7.118257261
Bromsgrove,West Midlands,310625,489,25412,7135,2.595017276,8.180925553
Broxbourne,East of England,399995,489,25412,9949,2.84054247,6.353079413
Broxtowe,East Midlands,225000,431,22422,9800,5.568181818,9.965333333
Buckingham,South East,411551,532,27669,2316,0.578964804,6.723103576
Burnley,North West,118000,431,22412,5200,5.652173913,18.99322034
Burton,West Midlands,189950,500,26010,4290,2.545994065,13.69307713
Bury North,North West,205000,550,28605,11500,7.796610169,13.95365854
Bury South,North West,220000,524,27227,9000,5.142857143,12.37590909
Bury St Edmunds,East of England,277875,579,30113,2876,1.091281701,10.83688709
Calder Valley,Yorkshire and The Humber,180000,497,25818,4400,2.784810127,14.34333333
Camberwell and Peckham,London,495000,557,28969,4950,1.052631579,5.852323232
Camborne and Redruth,South West,240000,454,23608,9000,4.615384615,9.836666667
Cambridge,East of England,450750,499,25964,5150,1.211764706,5.760177482
Cannock Chase,West Midlands,190526,531,27607,5305,3.234817073,14.48988589
Canterbury,South East,332050,490,25454,4410,1.422580645,7.665712995
Carlisle,North West,132000,473,24601,0,0,18.63712121
Carshalton and Wallington,London,415000,488,25366,11000,3.055555556,6.112289157
Castle Point,East of England,337000,620,32214,8400,2.847457627,9.559050445
Central Devon,South West,285000,471,24476,7000,2.8,8.588070175
Central Suffolk and North Ipswich,East of England,292500,421,21876,5500,2.075471698,7.478974359
Charnwood,East Midlands,260000,496,25776,7000,3.111111111,9.913846154
Chatham and Aylesford,South East,268500,521,27087,4250,1.718907988,10.08826816
