Year	Bracket	StampDuty
1997	100000	1
1997	200000	1
1997	300000	1.5
1997	500000	2
1997	£1m	2
1997	£2m	2
1998	100000	1
1998	200000	1
1998	300000	2
1998	500000	2
1998	£1m	3
1998	£2m	3
1999	100000	1
1999	200000	1
1999	300000	2.5
1999	500000	2.5
1999	£1m	3.5
1999	£2m	3.5
2000	100000	1
2000	200000	1
2000	300000	3
2000	500000	3
2000	£1m	4
2000	£2m	4
2001	100000	1
2001	200000	1
2001	300000	3
2001	500000	3
2001	£1m	4
2001	£2m	4
2002	100000	1
2002	200000	1
2002	300000	3
2002	500000	3
2002	£1m	4
2002	£2m	4
2003	100000	1
2003	200000	1
2003	300000	3
2003	500000	3
2003	£1m	4
2003	£2m	4
2004	100000	1
2004	200000	1
2004	300000	3
2004	500000	3
2004	£1m	4
2004	£2m	4
2005	100000	0
2005	200000	1
2005	300000	3
2005	500000	3
2005	£1m	4
2005	£2m	4
2006	100000	0
2006	200000	1
2006	300000	3
2006	500000	3
2006	£1m	4
2006	£2m	4
2007	100000	0
2007	200000	1
2007	300000	3
2007	500000	3
2007	£1m	4
2007	£2m	4
2008	100000	0
2008	200000	1
2008	300000	3
2008	500000	3
2008	£1m	4
2008	£2m	4
2009	100000	0
2009	200000	1
2009	300000	3
2009	500000	3
2009	£1m	4
2009	£2m	4
2010	100000	0
2010	200000	1
2010	300000	3
2010	500000	3
2010	£1m	4
2010	£2m	4
2011	100000	0
2011	200000	1
2011	300000	3
2011	500000	3
2011	£1m	4
2011	£2m	5
2012	100000	0
2012	200000	1
2012	300000	3
2012	500000	4
2012	£1m	5
2012	£2m	7
2013	100000	0
2013	200000	2
2013	300000	5
2013	500000	5
2013	£1m	10
2013	£2m	12
2014	100000	0
2014	200000	2
2014	300000	5
2014	500000	5
2014	£1m	10
2014	£2m	12
2015	100000	0
2015	200000	2
2015	300000	5
2015	500000	5
2015	£1m	10
2015	£2m	12
2016	100000	0
2016	200000	2
2016	300000	5
2016	500000	5
2016	£1m	10
2016	£2m	12
2017	100000	0
2017	200000	2
2017	300000	5
2017	500000	5
2017	£1m	10
2017	£2m	12
2018	100000	0
2018	200000	2
2018	300000	5
2018	500000	5
2018	£1m	10
2018	£2m	12
2019	100000	0
2019	200000	2
2019	300000	5
2019	500000	5
2019	£1m	10
2019	£2m	12
2020	100000	0
2020	200000	0
2020	300000	5
2020	500000	5
2020	£1m	10
2020	£2m	12
2021	100000	0
2021	200000	2
2021	300000	5
2021	500000	5
2021	£1m	10
2021	£2m	12
2022	100000	0
2022	200000	0
2022	300000	5
2022	500000	5
2022	£1m	10
2022	£2m	12
